id,name,feedback,time
100,Dave M,"Great service and friendly staff, with some free advice thrown in. A garage where you don't feel like you are going to get ripped off. Would definitely recommend them.",2016-01-2120:13:13
99,Jane,"Great service as always, Adem is always really helpful and really honest in his advice on best course of action for getting longevity out of the car! Also so helpful in working to minimise costs and provide a range of solutions to the problem. Plus flexible with scheduling and fast as ever! Thank you!",2016-01-1011:17:19
98,Helen B,"This is a great garage. Scraped my car on a barrier and dropped in after being quoted £350 for a re-spray by another garage... Adam buffed it up for me so its almost as good as new, for free!
<br/>Can't get better than that.",2015-12-2322:06:41
97,K Lucas,Just found these guys locally after looking at reviews.  I was really pleased - they turned around the MOT really quickly despite being busy -Adam was very friendly and helpful and perfectly reasonable price wise.  Its a clean and tidy garage which is a good sign.  My car passed with an advisory which was well explained.  Very happy to recommend.,2015-11-0218:53:22
96,Francesca,"Fantastic, friendly and efficient service. Very helpful and lots of advice too. Thank you!",2015-09-2819:20:30
95,Hong,"I dropped my car at lunch time and went for a cup of coffe, when I got back to the garage after 40 minutes the MOT has been done! Very friendly staff.",2015-09-2421:38:45
94,JD,"Extremely helpful and efficient. Brought the car in. Came back 40min later, it was waiting for me with all paper work done. Will definitely come back next year.",2015-09-1811:39:00
93,ross,oh - and they fixed our car key zapper for us just to be helpful :) ,2015-09-1218:01:03
92,ross,super fast service and really nice guys. highly recommended.,2015-09-1214:26:11
91,Charlotte,"I managed to book my car in 15 minutes after I enquired about a service. Everyone was extremely helpful, friendly and did a great job too. Thanks guys! ",2015-06-2516:25:00
90,Lisa,"Passed my MOT with them. They aren't the cheapest but I was looking for personal service and Adem and his colleagues did not disappoint. I needed a tightening of my hand brakes for another time but on inspecting the car Adem didn't think it was worth the high labour cost to fix the adjustment I wanted, he explained that the car was still sound and roadworthy. Not only was he honest, he didn't charge for the inspection. I had a good experience and would definitely return to use them again. Thanks Adem and Team.",2015-05-0614:09:20
89,Michelle,"Was in garage today & received excellent customer service from Matthew, only went in for M.O.T but would definitely recommend to others. The ONLY negative is the location, it's not a garage you would easily notice unfortunately & therefore a lot of people are really missing out on a very well run, honest (no bullxxxt) & reliable team, headed by Adam. 
<br/>
<br/>Many of us have been to various garages before & know we are paying over the odds, so why not give these guys a go. You will be pleasantly surprised & return time & time again. ",2015-04-0921:34:58
88,Anonymous,True.very fast and very profesional customer service.BRAVO!!!,2015-03-2914:58:25
87,Anonymous,Outstanding service couldn't recommend them highly enough! Will 100% use again.,2015-03-0617:30:58
86,Oleg,"Got my MOT done here. Called and was there in 30 minutes. Brilliant customer service, highly recommended, good guys! A*",2015-02-2220:24:39
85,Sophie,"I turned up late in the day, just before Christmas - they still managed to fit me in for an MOT despite how busy they were. Fast, reliable, super-friendly and well priced service. I will certainly be back and I can highly recommend them. Thank you!",2015-01-1713:35:58
84,Liz Veitch,I just posted this comment. .  the MOT service was superb,2015-01-0914:33:49
83,Anonymous,"This is a lovely gaarge. Clean, fast and efficient-charming people and excellent service. highly recommended",2015-01-0914:31:40
82,Felix,Was worried about taking my car for an MOT at a new garage and was skeptical about some of the competing garages in the area. Fast MOT offered not only a fast service but also a high quality and friendly service. Had a good chat too ^^. Would definitely use again when I'm in the area. Nice one.,2014-12-0213:51:38
81,Bruce &amp; Jane from Dalston/de Beauvoir,"FASTMOT - dropped by on Saturday morning - friendly service from the team, informative and as hassle free as an MOT can get. Would recommend and definitely be using again. ",2014-12-0113:48:29
80,eusha,"Really impressed with the quality of service at Fast MOT. I was dealt with swiftly by the team who I thought were friendly, reliable and highly professional. I will be back for any car-related needs in a heartbeat! Thanks again guys! ",2014-11-2717:56:25
79,Philippa,"I would definitely recommend this garage. Clean work space and friendly, reliable service. Thank you. ",2014-11-1518:11:41
78,Alma,"A local service that makes my life easier (can be a rarity!)
<br/>
<br/>The team were friendly and efficient during my MOT and made me feel my car was in good hands.
<br/>
<br/>It was also really nice to have been treated especially well because we arrived on a busy day and had to come back later in the week. Much appreciated.
<br/>
<br/>Thanks!",2014-10-2814:20:45
77,Sabrina &amp; Mark,1st class service for my MOT. Quick and reasonably priced. 2nd year I have been here and would recommend to anyone. ! Friendly staff . I will be back . ,2014-10-2513:57:18
76,Tom,"These guys are always very reliable, friendly, informative, reasonably priced, quick. I would highly recommend them. Excellent service, I wouldn't look anywhere else for a garage. ",2014-10-1715:31:15
75,Hil,"First time here today. Had MOT done and left very impressed. Guys were friendly, efficient and honest. They were really reasonably priced too! Would definitely use again and highly recommend!! ??",2014-10-0211:35:44
74,katie,Some colleagues told me about FAST MOT as it's near my office and yesterday proved that Adem and his team are totally brilliant - turned my MOT and service around in an afternoon and even waited for me after close because I'd got stuck in a meeting and didn't get back to the garage at the time we'd agreed!? Truly great service from a lovely team - what more could you ask for? Will definitely recommend!,2014-08-2110:30:08
73,Maggie,"This is the best garage I have ever found - and there have been many.  Most of them either produce shoddy work, overcharge or rip off women, but Adem at FAST MOT is the most honest and trustworthy garage owner you will ever find.  The work is very fast, reasonably priced and of great quality, and the service is second to none.  They will do your MOT while you wait in their clean and comfortable waiting area and their service is friendly, polite, helpful and totally dependable.  If you thought service with a smile was a thing of the past, think again - it's still alive and well at FAST MOT.  I never want to go anywhere else now and I have already recommended them to my friends.",2014-08-0818:32:54
72,Tom,"Great service, very friendly, quick and trustworthy. I would highly recommend. Will definitely be using them again.",2014-08-0407:12:20
71,Nick,"Last Saturday morning, fast FAST MOT. Friendly - Highly recommended. Great little restaurant around the corner to have a coffee and relax at for 30 minutes while MOT being done",2014-08-0206:36:04
70,ben cercis landscapes,"the guys at fast MOT where very friendly, they did my mot while i went and had a coffee. They replaced the brake light bulbs free of charge. great service, highly recommend them.",2014-07-1012:58:18
69,Fleur,"As a newcomer to Hackney, I asked my local friends for a garage recommendation and Fast was one. My MOT was done quickly with no problems found, Adam was super friendly and helpful, and they even cleaned my grotbag of a car for me as a first time customer! I will never go anywhere else, even if the cleaning was a one-off (it won't need doing for another 2 years anyway ;)",2014-07-0212:08:47
68,Sarah,Just had an MOT with FAST MOT today. Friendly and reliable. Highly recommended.,2014-06-2417:12:44 
67,Michael,"Just had a tyre changed due to a screw puncturing it.
<br/>The guy there was very friendly and gave a swift and memorable service. 
<br/>I thought the days of service with a smile at garages were gone but I was wrong. Will definetly recommend this garage and use it again. Thanks very much",2014-06-0214:17:49
66,Debra,"Since finding Adam and FastMot a few years ago, I would not use another garage.  Adam and his team are all helpful, trustworthy and reliable.  I feel completely confident that I am getting the best service and would highly recommend them.  Recently I had a problem with my car which was quite a specialist problem, and although it was not a job that Adam and his team could help with he researched and located another garage and spoke to them on my behalf and got all the information I needed to make an informed decision.  Thank you!
<br/>",2014-04-0909:47:18
65,Nick Wilson,"Superb service. Got quoted ridiculous prices at another dealer/garage so took it to Fast MOT and Adem & team sorted everything at an exceptionally reasonable price.
<br/>
<br/>100% trustworthy and I'll definitely be using them for all future work.
<br/>
<br/>Thanks guys.",2014-03-1309:05:13
64,Jonty,"Not only is this place FAST, it is INEXPENSIVE, and Adem and his team are FRIENDLY and HELPFUL.
<br/>I cant recommend FASTMOT highly enough. 
<br/>Knights in Shining Overalls.",2014-02-2714:20:45
63,Keith Daniells,"I have been using these guys for the last 3 years for my MOT and Ive always found them reliable, helpful and never had any complaints about their work. Would recommend my friends and family to use this friendly garage.",2014-02-2120:03:01
62,Sam Wormald-Smith,"These guys are fantastic, helpful, friendly and reasonable. I absolutely recommend them and will bring my car here for the future. Thank you!",2014-02-1709:38:50
61,Chris Fuller,"I'll use these guys whenever possible, not just for MOTs but for also repair work and general advice. I've always found them to be super friendly, honest and perform top notch work. Cheers again guys.",2014-02-1013:02:39
60,Andrew Kershman,"Just started using FAST and have found them to be honest, reliable and reasonably priced.  I will be recommending them to friends and will now be using them for all servicing and MOTs in the future...",2014-01-3111:26:18
59,Anfor Ali,5 Star MOT will recommend anyone. All the best too fastmot thanks Adam and co,2014-01-2310:46:19
58,Michael Lavery,"Fast, friendly, reliable service. Really helpful. I'll definitely be returning!",2014-01-2013:21:29
57,Sarah-Jayne,"Thanks for carrying out my recent MOT. It’s the first (second hand) car I’ve bought and the first MOT I’ve ever arranged, so I wanted to find someone I could trust. It was easy to book the MOT and I was able to drop the car off after work Friday and pick it up again on Monday (even though the MOT was completed on Saturday). The guys were friendly and professional. No extra charges and all notes made on the certificate were clearly explained. I’ll definitely be going back for a general service and would strongly recommend Fast MOT to anyone.",2014-01-2012:14:37
56,Rachel Kelly,"Fast, reliable, friendly and professional business.  Adem is extremely polite which is not what you get from other garages and as it is a family run business, everyone has a sense of honesty and commitment to every customer.  This was my first time using this garage, which was on recommendation, and I will now use this one from now on.  I would highly recommend this business to anyone!  Thanks!",2014-01-1706:33:54
55,John,"I got my car MOTd here today for the first time, the juggled a few things around in the workshop so that they could do it within the hour. They also sorted a few little things on my car free of charge. Adam and Matthew were really helpful, friendly and polite and the service was honest and transparent. I would definitely recommend these guys and will be using them again for servicing and future MOTs. Thanks!",2014-01-0715:44:09
54,May,"These guys are the bizz. I have used them for the past several years to do the MOT on my Jaguar. They are friendly and super efficient and will go the extra/stay late to get your car done. They are open Sat AM and are so popular that they tend to get swamped then so I would recommend going through the week. I am happy to recommend them highly.
<br/>",2013-11-1721:56:55
